month_date_yyyymm,county_fips,county_name,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202110,12071,"lee, fl",430000,0.0619,0.2684,1997,-0.0094,-0.6077,43,-0.022727273,-0.348484848,1488,0.0479,-0.2393,160,0.1429,-0.4286,552,0.0222,-0.4651,3788,-0.0053,-0.1189,240.9619109,0.0459,0.3086,1783,0.0068,0.0194,750182.9673,0.0382,0.2065,5785,-0.0067,-0.3839,1.896845268,0.008,1.0522
202110,12105,"polk, fl",320000,0.024,0.2805,1168,0.0219,-0.4813,38,0,-0.344827586,1028,0.062,-0.0551,96,-0.04,-0.5636,364,0,-0.2946,2322,0.074,-0.0515,175.0875438,0.0163,0.2691,1828,0.0069,0,383621.1942,0.0198,0.3056,3490,0.056,-0.2574,1.988013699,0.0965,0.901
202110,47065,"hamilton, tn",379900,0.0554,0.121,514,-0.0935,-0.3376,44,0.142857143,-0.169811321,368,0.0337,-0.0515,40,0.25,0.4286,164,-0.1087,-0.2807,1201,0.0462,0.0839,179.4871795,0.049,0.1534,2111,0.0052,-0.0098,563545.0885,0.072,0.2334,1715,0,-0.0897,2.336575875,0.3119,0.9087
202110,48469,"victoria, tx",279900,-0.0004,0.0562,181,0.0523,-0.1735,50,0.111111111,-0.324324324,84,0.1053,-0.0455,4,,,72,0,0.2,113,-0.0342,0.018,137.8462335,-0.0014,0.1117,1944,0.0346,-0.0856,334550.7371,-0.0189,0.0476,294,0.0173,-0.1091,0.624309392,-0.0559,0.1175
202110,1115,"st. clair, al",275500,-0.007,0.1479,212,-0.0783,0.0291,56,0.066666667,0.142857143,92,-0.2333,-0.1154,4,-0.9333,-0.8889,36,0.125,-0.1818,308,0.0584,0.1801,155.1724138,0.0178,0.1979,1878,-0.0209,0.0207,347970.2799,0.0072,0.1524,520,-0.0019,0.1135,1.452830189,0.1876,0.1858
202110,48027,"bell, tx",279900,0.0523,0.12,423,0.134,-0.0864,32,-0.098591549,-0.333333333,460,-0.0336,0.5132,16,0,-0.2,108,0.0385,-0.1,1057,-0.1027,0.0731,134.8920863,0.0427,0.1258,1959,-0.0061,-0.0833,367517.0261,0.0858,0.2311,1480,-0.0458,0.0221,2.498817967,-0.6594,0.3714
202110,53011,"clark, wa",554900,0.0054,0.2066,686,-0.0564,-0.1775,37,0.057142857,-0.244897959,636,-0.1215,-0.0245,524,0.0155,-0.2012,384,-0.068,-0.0943,1628,-0.0355,-0.1079,279.4210375,0.0234,0.1927,2060,-0.0299,-0.0181,709233.675,0.0005,0.1589,2314,-0.0418,-0.1297,2.373177843,0.0513,0.1849
202110,12086,"miami-dade, fl",539000,0.0316,0.1,10437,-0.0359,-0.4157,73,0.020979021,-0.370689655,3652,0.0133,-0.0369,480,0.0714,0.5,1352,-0.0532,-0.3843,6992,0.0266,0.0618,412.6213592,0.019,0.0882,1286,0.015,0,1394962.611,0.0354,0.1993,17429,-0.0118,-0.2871,0.669924308,0.0408,0.3013
202110,51087,"henrico, va",335000,-0.0212,-0.1161,281,-0.014,-0.2385,35,0,-0.166666667,360,0,0.2329,12,0,-0.6667,84,-0.087,-0.125,872,-0.0343,-0.0792,188.2075472,0.0002,0.0757,1844,0.0233,-0.1652,414004.9352,-0.0011,-0.1232,1153,-0.0295,-0.1239,3.103202847,-0.0652,0.5368
202110,37081,"guilford, nc",285900,-0.0138,-0.0438,547,-0.0036,-0.2726,42,0.166666667,0.076923077,476,-0.125,-0.0846,16,0,-0.6364,132,-0.2143,-0.25,1322,-0.0637,1.382,0,,,0,,,377331.9394,-0.0043,-0.0396,1869,-0.0469,0.43,2.416819013,-0.1551,1.6788
202110,27025,"chisago, mn",369900,0.035,0.1212,124,0,-0.1733,36,0.043478261,-0.142857143,80,-0.2593,-0.1304,0,,-1,28,0.4,-0.125,148,0.0207,-0.2332,200.8928571,0.0242,0.1271,1770,-0.0145,-0.0468,420213.9459,0.012,0.1229,272,0.0112,-0.207,1.193548387,0.0242,-0.0931
202110,26055,"grand traverse, mi",409900,-0.0991,-0.0238,223,-0.0551,-0.2806,52,0.168539326,-0.174603175,112,-0.2222,-0.2,4,-0.5,0,76,0.1875,0.2667,341,-0.0784,-0.1189,248.8744372,-0.0245,0.1283,1749,0.004,-0.0536,712662.2741,-0.0221,0.0439,564,-0.0693,-0.1908,1.529147982,-0.0386,0.2808
202110,41059,"umatilla, or",325000,0.0334,0.2041,104,0.0612,-0.028,51,0.146067416,-0.072727273,64,0.1429,0.7778,20,0,0.6667,48,0.3333,0.0909,158,0.0604,0.1618,188.7261114,0.0536,0.2438,1841,0.0496,-0.0118,647706.0948,-0.0747,0.2243,262,0.0607,0.0782,1.519230769,-0.0012,0.2482
202110,19013,"black hawk, ia",140000,-0.0308,-0.151,221,-0.0433,-0.3383,57,0.151515152,0.096153846,104,-0.0714,-0.2973,4,,0,80,0,-0.1667,259,-0.1536,0.1021,117.3007246,-0.0362,-0.0378,1285,-0.0439,-0.0789,206835.9957,0.0034,-0.06,480,-0.1061,-0.1564,1.171945701,-0.1527,0.4684
202110,42111,"somerset, pa",149000,-0.08,0.065,173,-0.0442,-0.2311,65,0.274509804,-0.084507042,60,-0.1176,-0.2105,0,,,48,0,-0.0769,120,0.0619,-0.1304,79.12667946,-0.1156,0.0799,1480,-0.027,-0.1106,229174.6774,-0.1453,-0.0847,293,-0.0034,-0.1928,0.693641618,0.0693,0.0803
202110,26111,"midland, mi",225000,-0.0194,0.25,144,0.0588,-0.2461,27,-0.1,-0.25,132,0.1,0.0645,0,,,44,-0.1538,-0.4211,264,-0.0112,-0.0833,135,-0.0049,0.2471,1684,-0.033,0.03,267989.5098,-0.0731,0.1245,408,0.0124,-0.1482,1.833333333,-0.1299,0.3255
202110,37031,"carteret, nc",439000,-0.0244,0.1707,275,-0.0385,-0.4186,50,0.063829787,-0.382716049,132,-0.2326,-0.2667,8,1,-0.7143,72,-0.1,-0.0526,428,-0.0382,-0.112,250,-0.033,0.1247,1800,-0.0055,-0.0354,589769.5994,-0.0417,0.1098,703,-0.0383,-0.2639,1.556363636,0.0004,0.5373
202110,47167,"tipton, tn",265000,0.0097,0.2326,49,-0.1967,-0.1967,51,0.378378378,0.416666667,40,-0.1667,0,4,,0,12,-0.4,-0.4,115,-0.0086,0.1856,0,,,0,,,276040.6029,0.0061,0.0987,164,-0.0734,0.038,2.346938776,0.4453,0.7568
202110,28059,"jackson, ms",177000,-0.0299,-0.115,451,0.6165,0.4884,16,-0.709090909,-0.774647887,112,0,0,0,-1,,68,-0.32,-0.1053,500,1.6455,1.3697,102.9522829,-0.0009,0.0376,1844,0.0079,-0.0371,313299.2489,0.0766,0.1099,951,1.0321,0.8502,1.10864745,0.4312,0.4123
202110,12019,"clay, fl",350000,-0.0193,0.2727,348,0.0326,-0.089,40,0.095890411,-0.215686275,288,-0.0769,0.1429,12,-0.25,-0.8235,116,-0.1714,-0.1944,809,0.0151,0.0845,173.6550633,-0.002,0.2347,1997,-0.0079,0.0055,428556.3866,-0.0068,0.249,1157,0.0203,0.0257,2.324712644,-0.0403,0.3718
202110,37071,"gaston, nc",263000,-0.015,-0.0607,247,-0.0714,-0.2583,31,0.107142857,-0.279069767,212,-0.1452,-0.0702,32,0.6,-0.6364,112,-0.0968,0.1667,302,-0.0503,-0.1793,167.961165,0.0646,0.2175,1624,-0.0621,-0.1471,328019.2667,-0.0006,0.0277,549,-0.0599,-0.2168,1.222672065,0.0272,0.1176
202110,55079,"milwaukee, wi",198500,-0.0023,0.0447,1100,-0.0385,0.1011,36,0,0,860,-0.0227,0.0914,4,-0.5,-0.5,600,0.0714,0.3514,1174,-0.0369,-0.06,135.9039191,-0.0057,0.0422,1321,-0.0197,0.0224,269839.4221,0.0346,-0.0047,2274,-0.0377,0.0116,1.067272727,0.0017,-0.183
202110,55009,"brown, wi",349900,0.0234,0.207,289,-0.0069,-0.0997,46,0.045454545,-0.192982456,212,-0.1167,0.1277,0,-1,-1,88,-0.0435,-0.1852,487,-0.0299,-0.1486,151.8229167,-0.0012,0.1301,1928,-0.0151,0.0272,408824.0281,-0.029,0.1357,776,-0.0214,-0.131,1.685121107,-0.04,-0.0968
202110,35061,"valencia, nm",334000,0.0622,0.215,108,-0.0442,0.1489,49,0,-0.209677419,64,-0.2,0.2308,4,,0,36,0,0.8,212,-0.0275,0.2045,160.8695652,0.0163,0.1576,2013,-0.0002,-0.0514,386536.1854,0.0153,0.1074,320,-0.0332,0.1852,1.962962963,0.0338,0.0906
202110,24045,"wicomico, md",259900,0,0.2094,162,0.0946,-0.1383,54,0.018867925,-0.068965517,96,-0.04,-0.1724,4,,0,40,-0.0909,0,234,-0.0677,-0.0965,137.6075731,-0.0025,0.0935,1800,0,0.0759,313868.2926,0.0058,0.2015,396,-0.0075,-0.1141,1.444444444,-0.2515,0.0668
